AREA_CD,CATEGORY,AREA_NM,ADM_CD,ADM_NM,overlap_area,poi_area,poi_share
POI018,인구밀집지역,교대역,11220540,서초4동,22265.11145293379,213634.35685478785,0.10422064962176424
POI019,인구밀집지역,구로디지털단지역,11170540,구로3동,481944.1168216088,501928.07251679956,0.9601856186385712
POI019,인구밀집지역,구로디지털단지역,11210720,조원동,19139.864247040172,501928.07251679956,0.03813268333661405
POI019,인구밀집지역,구로디지털단지역,11170700,가리봉동,844.0914481524455,501928.07251679956,0.0016816980248184738
POI020,인구밀집지역,구로역,11170560,구로5동,73052.86074941333,81200.04976780494,0.8996652213676118
POI020,인구밀집지역,구로역,11170510,신도림동,7900.637120955778,81200.04976780494,0.09729842707668274
POI020,인구밀집지역,구로역,11170710,구로2동,246.55189742854054,81200.04976780494,0.003036351555615623
POI021,인구밀집지역,군자역,11050590,능동,82808.55082428525,221016.0187233868,0.37467216766728806
POI021,인구밀집지역,군자역,11050540,군자동,62964.827404634445,221016.0187233868,0.2848880717711156
POI021,인구밀집지역,군자역,11050560,중곡2동,54637.60198674681,221016.0187233868,0.24721104968924743
POI021,인구밀집지역,군자역,11050550,중곡1동,20605.038507717927,221016.0187233868,0.09322871087233825
POI023,인구밀집지역,대림역,11170550,구로4동,127881.78368188239,415297.7469981831,0.3079279495403616
POI023,인구밀집지역,대림역,11190720,대림3동,114610.89415386974,415297.7469981831,0.27597282909018805
POI023,인구밀집지역,대림역,11190710,대림2동,112489.72430231742,415297.7469981831,0.2708652409395555
POI023,인구밀집지역,대림역,11170540,구로3동,60261.92454411421,415297.7469981831,0.1451053490650838
POI023,인구밀집지역,대림역,11170710,구로2동,51.673649217131754,415297.7469981831,0.00012442554670867941
POI023,인구밀집지역,대림역,11190700,대림1동,1.7466667783093843,415297.7469981831,4.205818093005513e-06
POI024,인구밀집지역,동대문역,11010630,종로5·6가동,91760.40569980546,196834.50532153228,0.46618048776515775
POI024,인구밀집지역,동대문역,11010670,창신1동,58132.853007445345,196834.50532153228,0.2953387309429534
POI024,인구밀집지역,동대문역,11010680,창신2동,46936.718712817106,196834.50532153228,0.23845777769576137
POI024,인구밀집지역,동대문역,11020690,신당동,2.6412040618448565,196834.50532153228,1.3418399673016719e-05
POI024,인구밀집지역,동대문역,11020590,광희동,1.8866974020409417,196834.50532153228,9.585196452009222e-06
POI025,인구밀집지역,뚝섬역,11040660,성수1가2동,290757.9862641361,291717.47301429673,0.996710904080423
POI025,인구밀집지역,뚝섬역,11040650,성수1가1동,959.4867501506878,291717.47301429673,0.0032890959195428946
POI026,인구밀집지역,미아사거리역,11090710,송중동,185008.42141788185,323479.2586541811,0.5719328719485753
POI026,인구밀집지역,미아사거리역,11080680,길음2동,70603.44191569298,323479.2586541811,0.2182626552609122
POI026,인구밀집지역,미아사거리역,11090720,송천동,54891.14166399514,323479.2586541811,0.16968983387796463
